text,user,ts
"みなさま、お久しぶりです！
今週土曜日、SAGAアリーナ横の旧スコルカフェにて、佐賀大学の学生と一緒にイベントを行います！ご興味がある方、ぜひご参加ください:bow:

＼:mega:8/9(土)佐賀大学建築サークル「しかラボ」:heavy_multiplication_x:Terakoya企画アイディアソン :triangular_flag_on_post:／

この度、地域の課題を建築の力で解決する取り組みをしている佐賀大学建築サークル「しかラボ」とTerakoyaがコラボレーション！
しかラボが取り組んでいる「空き家再生プロジェクト」を題材に、再生した建物の活用方法についてのアイディアソンを開催します:fire:
▼▽申込はこちら▽▼
<https://forms.gle/stq2rJCueVwW5JZt7>
※申込締切：8/8(金) 18:00
※定員：30名（会場の都合上、定員に達し次第締め切らせていただきます。お早めにお申込みください！）
ーーーーーーーーーーー
:small_blue_diamond: 佐賀大生と描く「地域の未来」～空き家再生プロジェクト～アイディアソン
日　時　令和7年8月9日（土）14：00～17：00
場　所　サンライズパーク内 パークテラスPop Up! RYO-FU BASE（旧スコルカフェ）
定　員　30名
参加費　無料
※16：30～交流会あり
ーーーーーーーーーーー
当日はしかラボの取り組みについて紹介しながら、実際に改修される建物の「地域や沢山の人を巻き込む持続可能な活用方法」について
グループワークを通して意見を出し合い、発表まで行う予定です！
しかラボのメンバーもグループワークに入り、皆さんと一緒にアイディアを出し合います！
特別なスキルや経歴は不要:man-gesturing-no:面白そう:sparkles:と思った方、色んな人とつながってみたい:handshake:と思った方、大歓迎！
ご参加よろしくお願いします！

▼しかラボ代表の保澤君からのコメント
当日は皆さんとお会いできることを楽しみにしています！
学生の本気を応援していただけませんか？:man-bowing::sparkles:
ご参加よろしくお願いします！
＃地方創生 ＃関係人口 ＃地域おこし ＃空き家 ＃企画出し ＃イベントなどに興味ある方、
皆さんのアイデアと一緒に地域の未来を作りだすこの特別な企画で、しかラボと一緒に挑戦してみませんか:fire:

:small_blue_diamond:しかラボについて（しかラボのこれまでの取り組みについて年表形式で紹介しています）
<https://drive.usercontent.google.com/download?id=1X6A98UV2yDI1YGDwIfZ5SqX0C4_0F59P&amp;export=download&amp;authuser=0>

:small_blue_diamond:しかラボが現在行っているプロジェクトについて（現在しかラボが行っているクラウドファンディングページになります）
<https://camp-fire.jp/projects/858128/view#menu>",鈴木美弥子,2025-08-07 14:17:42.882039
"notebookLMの新機能、動画解説がエグいです :partying_face: 
まだGWS有償アカウントからのみ利用可能ですが、近日無料アカウントにも公開されるらしいです :+1: ",古川格(運営),2025-08-02 20:00:11.230509
Re:podcastもすぐ上限くるから個人で有償契約しようかなと思ってます。（notionAIやめたし）,山下　晃(ﾔﾏｼﾀ　ﾋｶﾙ),2025-08-02 22:40:25.534759
Re:今一番課金してアツいのはGoogleかもですね :fire: ,古川格(運営),2025-08-03 07:53:28.130889
"これを書いている2025/07/30 20:36時点で、
とあるイベントに参加しています。

HAGAKUREでも実施した
<https://sss-ixw8135.slack.com/archives/C02V07Y5G86/p1750574055618829>
[Amazon Q CLI でゲームを作ろうキャンペーンの報告と最新情報 update &amp; Kiro のご紹介]
<https://aws.amazon.com/startups/events/amazonq-developer-meetup-20250730>

このイベントに参加していると、
いろいろな役職（エンジニアでない営業の方から、インフラ・ネットワークエンジニアなど）の方が登壇されています。　
皆さん、ゲーム開発経験がない方ばかりですが、
それ以外にも得られた内容を発表するだけでも有益では？と思えました。
（多くの方が、Tシャツがほしい、物欲駆動開発で参加されていましたｗ）

ぜひ、まだLT枠が空いているので、
Amazon Q Developer for CLIを触ってみた内容を話してみませんか？

[佐賀の中心でAWSを叫ぶ]
<https://jawsug-saga.connpass.com/event/362596/>
日時：2025/08/11(月)　13:00 ～ 16:00
場所： SAGAアリーナ パークテラス POPUP!RYOFU BASE

既に福岡にある某企業所属の方たちが登録しているのですが、
交流目的の軽い気持ちで申し込んでみてください。",Tetsuya Shibao,2025-07-30 20:52:02.118759
"忘れてたー
今日オンラインでも見れますのでよかったらー

Amazon Q CLI でゲームを作ろうキャンペーンの報告と最新情報 update &amp; Kiro のご紹介

日:
2025年7月30日 水曜日
時刻:
19:00 - 21:00 JST
タイプ:
ハイブリッド
<https://aws.amazon.com/startups/events/amazonq-developer-meetup-20250730?attended|https://aws.amazon.com/startups/events/amazonq-developer-meetup-20250730?attended>",Tetsuya Shibao,2025-07-30 17:41:06.498809
Re:耳だけ参加してます:laughing:,古川格(運営),2025-07-30 19:58:11.952929
"<!channel>
リマインドですみませんｗ
本日日中ですがSAGAアリーナ付近におりますので、ぜひお気軽に遊びに来られてください。よろしくお願いしますm(_ _)m
<https://sss-ixw8135.slack.com/archives/C02T5N5LMD3/p1752712666219079>
※申し込み無くても大丈夫ですし、タイミングによってはIT系カードゲームとかやってるかもです。ゆるっと、どうぞ！",高橋(ｶﾗﾋﾞﾅ),2025-07-29 07:49:45.882349
"ひさしぶりに話したくなった人はどうぞー（会場はこの前と同じパークテラスです）
福岡のAWS SIerのFusicから3名、クラメソ福岡から1名と強い人ばかり集まりだしたので若干焦っていますー（こっちが本音）
<https://jawsug-saga.connpass.com/event/362596/>",Tetsuya Shibao,2025-07-25 23:47:51.822529
"【気になる方はスレッドみてください】
今、Windsurf  Meetup#1 を見ているのですがクーポンコードが出ているので置いておきます
AI Software Engineer ""Devin"" <https://devin.ai/> 20$
AI IDE ""Windsurf"" <https://windsurf.com/> Pro 15$ 3ヶ月 Free
※ Devin 20$ 超えた場合の課金、Windsurf 3ヶ月超えた場合に発生する費用については補償しません
※ クーポンコード適用はクレジットカード登録時にプロモーションコードとして登録するものです",Tetsuya Shibao,2025-07-25 19:52:41.458529
Re:,Tetsuya Shibao,2025-07-25 19:53:00.064109
"中の人間なので大きな声では言えないですが、
まだ1ヶ月以上あるので「フリープランでMCPを使い倒してみた」もできますね:star-struck:
　
[フリープランでできることをおしえてください]
<https://support-ja.backlog.com/hc/ja/articles/360035645834>
[公式MCPサーバ]
<https://github.com/nulab/backlog-mcp-server>
[非公式MCPサーバ] ※Backlog AIチームでない社員が作成したので非公式扱いです
<https://nulab.com/ja/blog/backlog/backlog-mcp-server-rust/>",Tetsuya Shibao,2025-07-24 09:44:14.071069
"Backlogのユーザーコミュニティ、JBUG佐賀さんより、９月５日に以下の内容で登壇していただける方を募集しているとのご案内をいただきました。

&gt; 登壇内容
&gt; Backlogを使用しているなら「Backlog×AI」の内容で登壇していただきたいです。
&gt; もしBacklogユーザーじゃなくても「タスク管理×AI」の内容でも大丈夫です。
&gt; ただBacklogユーザーコミュニティなので「タスク管理×AI」の内容を話した場合は難しいと思いますが最後にBacklogに関する事を絡めて欲しいです。
&gt; Backlogだったらこういう違うこともできる。的な。
HAGAKUREの皆さんで、Backlogを使用されている方、またはAIでタスク管理をされている方。興味を持たれたらぜひ私までご連絡ください:blob_smile_happy_eyes:",古川格(運営),2025-07-22 23:03:31.200439
"Re:中の人間なので大きな声では言えないですが、
まだ1ヶ月以上あるので「フリープランでMCPを使い倒してみた」もできますね:star-struck:
　
[フリープランでできることをおしえてください]
<https://support-ja.backlog.com/hc/ja/articles/360035645834>
[公式MCPサーバ]
<https://github.com/nulab/backlog-mcp-server>
[非公式MCPサーバ] ※Backlog AIチームでない社員が作成したので非公式扱いです
<https://nulab.com/ja/blog/backlog/backlog-mcp-server-rust/>",Tetsuya Shibao,2025-07-24 09:44:14.071069
"<@U034FNT6QTG>
昨日のイベントの運営チャンネルでのやり取り :partying_face: 
橋口さんの指摘が鋭い :laughing: ",古川格(運営),2025-07-22 12:05:51.019529
Re:最大出力がこれです♪,藤瀬裕一,2025-07-22 13:01:20.861609
"Re:これがね、我らが橋口さんなわけですよ！(ドヤ顔)
*楳図かずお先生か、それ以外か*というレベルで赤白ボーダーのシャツを着た僕を察知しているわけですよ！(ドヤ顔)",吉井春樹,2025-07-22 13:58:34.505809
"Re:ちゃんと前むいて写られていたんですね・・・・
てっきり、吉井さんだから
後ろ向きにでも写っているのかと:sweat_smile:",橋口加代子(運営),2025-07-23 11:54:51.777279
Re:人生に前向きでありたいと言う心構えを表現しています,吉井春樹,2025-07-23 13:14:48.353969
"作ってみました！
サブイベントに提出要件を詳細に日本語で記載しています
<https://jawsug-saga.connpass.com/event/363415/>",Tetsuya Shibao,2025-07-21 19:49:25.499529
"Kindle版ですが、ポイント還元が多くなっていますので余裕がある方はー
　
LangChainとLangGraphによるRAG・AIエージェント［実践］入門 エンジニア選書
<https://www.amazon.co.jp/dp/B0DK4YGYBL/>
やさしいMCP入門
<https://www.amazon.co.jp/dp/B0FFGMH7V4/>",Tetsuya Shibao,2025-07-21 18:08:55.095269
Re:うお、お得 :sparkles: ,古川格(運営),2025-07-21 18:15:19.104509
